Urdu Word,English Translation,Description,Tokenized Urdu Word,Character Length,Level
لت,addictive,causing or characterized by addiction,ل ت,2,Easy
گم,gummed,covered with adhesive gum,گ م,2,Easy
پچ,pitchy,having the characteristics of pitch or tar,پ چ,2,Easy
بل,billed,having a beak or bill as specified,ب ل,2,Easy
ڈن,dun,of a dull greyish brown to brownish grey color,ڈ ن,2,Easy
سب,all,completely given to or absorbed by,س ب,2,Easy
سخت,torrential,pouring in abundance,س خ ت,3,Easy
تنگ,tight,affected by scarcity and expensive to borrow,ت ن گ,3,Easy
غلط,inaccurate,not exact,غ ل ط,3,Easy
دور,away,(of a baseball pitch) on the far side of home plate from the batter,د و ر,3,Easy
نئی,new,unfamiliar,ن ئ ی,3,Easy
جمع,accumulative,marked by acquiring or amassing,ج م ع,3,Easy
گرم,hot,marked by excited activity,گ ر م,3,Easy
بند,off,not performing or scheduled for duties,ب ن د,3,Easy
تیز,brisk,very active,ت ی ز,3,Easy
اصل,actual,presently existing in fact and not merely potential or possible,ا ص ل,3,Easy
صاف,clean,free of drugs,ص ا ف,3,Easy
کمی,deficient,inadequate in amount or degree,ک م ی,3,Easy
گلو,gluey,having the sticky properties of an adhesive,گ ل و,3,Easy
صفت,adjective,relating to court practice and procedure as opposed to the principles of law,ص ف ت,3,Easy
اہم,substantive,defining rights and duties as opposed to giving the rules by which rights and duties are established,ا ہ م,3,Easy
بٹن,buttony,ornamented with many buttons,ب ٹ ن,3,Easy
نصب,mounted,decorated with applied ornamentation; often used in combination; - F.V.W.Mason,ن ص ب,3,Easy
چست,adroit,quick or skillful or adept in action or thought,چ س ت,3,Easy
نیز,plus,involving advantage or good,ن ی ز,3,Easy
فحش,sensuous,taking delight in beauty,ف ح ش,3,Easy
لیا,taken,be affected with an indisposition,ل ی ا,3,Easy
مٹی,truculent,defiantly aggressive,م ٹ ی,3,Easy
سخت,harsh,sharply disagreeable; rigorous,س خ ت,3,Easy
اہم,vital,manifesting or characteristic of life,ا ہ م,3,Easy
قتل,assassinated,murdered by surprise attack for political reasons,ق ت ل,3,Easy
دیر,late,having died recently,د ی ر,3,Easy
قتل,murdered,killed unlawfully,ق ت ل,3,Easy
کمی,manque,unfulfilled or frustrated in realizing an ambition,ک م ی,3,Easy
شفٹ,shiftless,lacking or characterized by lack of ambition or initiative; lazy,ش ف ٹ,3,Easy
تیز,acrimonious,marked by strong resentment or cynicism,ت ی ز,3,Easy
آبی,aquatic,operating or living or growing in water,آ ب ی,3,Easy
وجہ,due,owed and payable immediately or on demand,و ج ہ,3,Easy
جرم,delinquent,past due; not paid at the scheduled time,ج ر م,3,Easy
لیس,equipped,carrying weapons,ل ی س,3,Easy
جوڑ,jointed,having joints or jointed segments,ج و ڑ,3,Easy
بڑا,big,in an advanced stage of pregnancy,ب ڑ ا,3,Easy
گرج,thunderous,extremely ominous,گ ر ج,3,Easy
سست,slumberous,inclined to or marked by drowsiness,س س ت,3,Easy
آگے,forward,at or near or directed toward the front,آ گ ے,3,Easy
اون,wooly,covered with dense often matted or curly hairs,ا و ن,3,Easy
پیٹ,bellied,having a belly; often used in combination,پ ی ٹ,3,Easy
زہر,venomed,full of malice or hate,ز ہ ر,3,Easy
فٹر,fitter,improved in health or physical condition,ف ٹ ر,3,Easy
تیز,acned,(of complexion) blemished by imperfections of the skin,ت ی ز,3,Easy
نڈر,daredevil,presumptuously daring,ن ڈ ر,3,Easy
پُر,furled,rolled up and secured,پ ُ ر,3,Easy
ہمت,gutsy,marked by courage and determination in the face of difficulties or danger; robust and uninhibited; ; -Judith Crist,ہ م ت,3,Easy
ہیچ,hatched,shaded by means of fine parallel or crossed lines,ہ ی چ,3,Easy
چمک,glimmery,shining softly and intermittently,چ م ک,3,Easy
کمی,lackluster,lacking luster or shine,ک م ی,3,Easy
نرم,soft,not brilliant or glaring,ن ر م,3,Easy
بہن,sister,like or characteristic of or befitting a sister,ب ہ ن,3,Easy
دفن,buried,placed in a grave,د ف ن,3,Easy
کمی,lackadaisical,idle or indolent especially in a dreamy way; ; - P.G.Wodehouse,ک م ی,3,Easy
ہڈی,bone,consisting of or made up of bone,ہ ڈ ی,3,Easy
بٹن,buttoned,furnished or closed with buttons or something buttonlike,ب ٹ ن,3,Easy
تیز,boisterous,violently agitated and turbulent; ; - Ezra Pound,ت ی ز,3,Easy
پیڈ,blowy,abounding in or exposed to the wind or breezes,پ ی ڈ,3,Easy
کٹی,choppy,rough with small waves,ک ٹ ی,3,Easy
گرج,thundery,accompanied with thunder,گ ر ج,3,Easy
کچھ,certain,exercising or taking care great enough to bring assurance,ک چ ھ,3,Easy
منٹ,minute,characterized by painstaking care and detailed examination,م ن ٹ,3,Easy
وجہ,causal,involving or constituting a cause; causing,و ج ہ,3,Easy
تیز,fast,(of a photographic lens or emulsion) causing a shortening of exposure time,ت ی ز,3,Easy
حذف,cancellate,having an open or latticed or porous structure,ح ذ ف,3,Easy
اثر,efferent,of nerves and nerve impulses; conveying information away from the CNS,ا ث ر,3,Easy
مسخ,distortable,capable of having the meaning altered or twisted,م س خ,3,Easy
غلط,erratic,liable to sudden unpredictable change,غ ل ط,3,Easy
وزن,weighted,adjusted to reflect value or proportion,و ز ن,3,Easy
اسی,same,unchanged in character or nature,ا س ی,3,Easy
بوف,buff,of the yellowish-beige color of buff leather,ب و ف,3,Easy
سبز,green,of the color between blue and yellow in the color spectrum; similar to the color of fresh grass,س ب ز,3,Easy
شہد,honey,of something having the color of honey,ش ہ د,3,Easy
جیڈ,jade,of something having the color of jade; especially varying from bluish green to yellowish green,ج ی ڈ,3,Easy
نیز,ocher,of a moderate orange-yellow color,ن ی ز,3,Easy
پیچ,peachy,of something resembling a peach in color,پ ی چ,3,Easy
سرخ,red,of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies,س ر خ,3,Easy
رسٹ,russet,of brown with a reddish tinge,ر س ٹ,3,Easy
زنگ,rust,of the brown color of rust,ز ن گ,3,Easy
رنگ,color,having or capable of producing colors,ر ن گ,3,Easy
ران,roan,(used of especially horses) having a brownish coat thickly sprinkled with white or grey,ر ا ن,3,Easy
داغ,stained,marked or dyed or discolored with foreign matter,د ا غ,3,Easy
موم,waxen,having the paleness of wax; - Bram Stoker,م و م,3,Easy
شور,noisy,attracting attention by showiness or bright colors,ش و ر,3,Easy
آدم,primitive,used of preliterate or tribal or nonindustrial societies,آ د م,3,Easy
راز,secret,the next to highest level of official classification for documents,ر ا ز,3,Easy
خام,crude,not processed or subjected to analysis,خ ا م,3,Easy
فحش,lewd,suggestive of or tending to moral looseness,ف ح ش,3,Easy
صاف,clear,readily apparent to the mind,ص ا ف,3,Easy
وشد,vivid,having the clarity and freshness of immediate experience,و ش د,3,Easy
دور,far,located at a great distance in time or space or degree,د و ر,3,Easy
دور,distant,located far away spatially,د و ر,3,Easy
فجی,fuzzy,confused and not coherent; not clearly thought out,ف ج ی,3,Easy
بہت,suffusive,spreading through,ب ہ ت,3,Easy
تنگ,cramped,constricted in size,ت ن گ,3,Easy
برا,bad,feeling physical discomfort or pain (`tough' is occasionally used colloquially for `bad'),ب ر ا,3,Easy
گرم,warm,uncomfortable because of possible danger or trouble,گ ر م,3,Easy
فنی,technical,resulting from or dependent on market factors rather than fundamental economic considerations,ف ن ی,3,Easy
عام,common,having no special distinction or quality; widely known or commonly encountered; average or ordinary or usual,ع ا م,3,Easy
طاق,odd,not easily explained,ط ا ق,3,Easy
